ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
1,-0.0043173235,0.0049130752,0.0055630542,0,0,0,0.05,1
1,-0.0043022636,0.0049107072,0.0055603163,0,0,0,0.05,1
1,-0.0042872036,0.0049083393,0.0055575786,0,0,0,0.05,1
1,-0.0042721437,0.0049059714,0.0055548409,0,0,0,0.05,1
1,-0.0042570838,0.0049036035,0.0055521034,0,0,0,0.05,1
1,-0.0042420238,0.0049012356,0.005549366,0,0,0,0.05,1
1,-0.0042269639,0.0048988677,0.0055466287,0,0,0,0.05,1
1,-0.004211904,0.0048964998,0.0055438915,0,0,0,0.05,1
1,-0.0041968441,0.0048941319,0.0055411544,0,0,0,0.05,1
1,-0.0041817842,0.004891764,0.0055384175,0,0,0,0.05,1
1,-0.0041667243,0.0048893961,0.0055356806,0,0,0,0.05,1
1,-0.0041516644,0.0048870282,0.0055329439,0,0,0,0.05,1
1,-0.0041366046,0.0048846603,0.0055302073,0,0,0,0.05,1
1,-0.0041215447,0.0048822924,0.0055274708,0,0,0,0.05,1
1,-0.0041064848,0.0048799245,0.0055247344,0,0,0,0.05,1
1,-0.0040914249,0.0048775566,0.0055219982,0,0,0,0.05,1
1,-0.0040763651,0.0048751887,0.005519262,0,0,0,0.05,1
1,-0.0040613052,0.0048728208,0.005516526,0,0,0,0.05,1
1,-0.0040462454,0.0048704529,0.0055137901,0,0,0,0.05,1
1,-0.0040311855,0.004868085,0.0055110543,0,0,0,0.05,1
1,-0.0040161257,0.0048657171,0.0055083186,0,0,0,0.05,1
1,-0.0040010659,0.0048633493,0.005505583,0,0,0,0.05,1
1,-0.003986006,0.0048609814,0.0055028475,0,0,0,0.05,1
1,-0.0039709462,0.0048586135,0.0055001122,0,0,0,0.05,1
1,-0.0039558864,0.0048562456,0.005497377,0,0,0,0.05,1
1,-0.0039408266,0.0048538777,0.0054946419,0,0,0,0.05,1
1,-0.0039257668,0.0048515098,0.0054919069,0,0,0,0.05,1
1,-0.003910707,0.004849142,0.005489172,0,0,0,0.05,1
1,-0.0038956472,0.0048467741,0.0054864372,0,0,0,0.05,1
1,-0.0038805874,0.0048444062,0.0054837026,0,0,0,0.05,1
1,-0.0038655276,0.0048420383,0.005480968,0,0,0,0.05,1
1,-0.0038504678,0.0048396705,0.0054782336,0,0,0,0.05,1
1,-0.0038354081,0.0048373026,0.0054754993,0,0,0,0.05,1
1,-0.0038203483,0.0048349347,0.0054727651,0,0,0,0.05,1
1,-0.0038052885,0.0048325668,0.005470031,0,0,0,0.05,1
1,-0.0037902288,0.004830199,0.0054672971,0,0,0,0.05,1
1,-0.003775169,0.0048278311,0.0054645632,0,0,0,0.05,1
1,-0.0037601093,0.0048254632,0.0054618295,0,0,0,0.05,1
1,-0.0037450496,0.0048230954,0.0054590959,0,0,0,0.05,1
1,-0.0037299898,0.0048207275,0.0054563624,0,0,0,0.05,1
1,-0.0037149301,0.0048183596,0.005453629,0,0,0,0.05,1
1,-0.0036998704,0.0048159918,0.0054508957,0,0,0,0.05,1
1,-0.0036848107,0.0048136239,0.0054481626,0,0,0,0.05,1
1,-0.003669751,0.0048112561,0.0054454295,0,0,0,0.05,1
1,-0.0036546913,0.0048088882,0.0054426966,0,0,0,0.05,1
1,-0.0036396316,0.0048065204,0.0054399638,0,0,0,0.05,1
1,-0.0036245719,0.0048041525,0.0054372311,0,0,0,0.05,1
1,-0.0036095122,0.0048017846,0.0054344985,0,0,0,0.05,1
1,-0.0035944525,0.0047994168,0.0054317661,0,0,0,0.05,1
1,-0.0035793928,0.0047970489,0.0054290337,0,0,0,0.05,1
1,-0.0035643331,0.0047946811,0.0054263015,0,0,0,0.05,1
1,-0.0035492735,0.0047923132,0.0054235694,0,0,0,0.05,1
1,-0.0035342138,0.0047899454,0.0054208374,0,0,0,0.05,1
1,-0.0035191542,0.0047875775,0.0054181055,0,0,0,0.05,1
1,-0.0035040945,0.0047852097,0.0054153737,0,0,0,0.05,1
1,-0.0034890349,0.0047828419,0.005412642,0,0,0,0.05,1
1,-0.0034739752,0.004780474,0.0054099105,0,0,0,0.05,1
1,-0.0034589156,0.0047781062,0.0054071791,0,0,0,0.05,1
1,-0.003443856,0.0047757383,0.0054044478,0,0,0,0.05,1
1,-0.0034287963,0.0047733705,0.0054017166,0,0,0,0.05,1
1,-0.0034137367,0.0047710027,0.0053989855,0,0,0,0.05,1
1,-0.0033986771,0.0047686348,0.0053962545,0,0,0,0.05,1
1,-0.0033836175,0.004766267,0.0053935237,0,0,0,0.05,1
1,-0.0033685579,0.0047638992,0.0053907929,0,0,0,0.05,1
1,-0.0033534983,0.0047615313,0.0053880623,0,0,0,0.05,1
1,-0.0033384387,0.0047591635,0.0053853318,0,0,0,0.05,1
1,-0.0033233792,0.0047567957,0.0053826014,0,0,0,0.05,1
